"time","mean","stdev","min","max","q1","q3","median","throughput","('s9', 's18')","('s9', 's8')","('s9', 's7')","('s9', 's6')","('s9', 's10')","('s8', 's7')","('s8', 's5')","('s3', 's2')","('s3', 's1')","('s3', 's6')","('s2', 's12')","('s2', 's1')","('s1', 's4')","('s7', 's20')","('s7', 's25')","('s6', 's12')","('s6', 's10')","('s6', 's4')","('s5', 's25')","('s5', 's27')","('s5', 's4')","('s19', 's20')","('s19', 's18')","('s19', 's17')","('s19', 's21')","('s18', 's20')","('s18', 's17')","('s13', 's11')","('s13', 's16')","('s13', 's15')","('s13', 's14')","('s12', 's11')","('s11', 's10')","('s11', 's16')","('s10', 's16')","('s17', 's16')","('s17', 's15')","('s17', 's14')","('s15', 's14')","('s30', 's28')","('s30', 's29')","('s30', 's24')","('s22', 's23')","('s22', 's21')","('s22', 's24')","('s23', 's28')","('s23', 's26')","('s23', 's24')","('s20', 's26')","('s20', 's21')","('s26', 's25')","('s27', 's28')","('s27', 's29')","('s27', 's25')","('s25', 's28')","('s28', 's29')"
0.1,0.016713945799491866,0.086423695806934889,0.0,0.65598096477154433,0.0,0.010000000000000009,0.0,9359809647.7154446,0.020000000000000018,0.010000000000000007,0.0,0.010000000000000009,0.010000000000000007,0.0,0.0,0.0,0.0,0.009999999999999992,0.020000000000000018,0.0,0.010000000000000009,0.0,0.0,0.010000000000000009,0.0,0.010000000000000009,0.0,0.010000000000000009,0.010000000000000009,0.0,0.020000000000000018,0.010000000000000009,0.010000000000000009,0.0,0.010000000000000009,0.0,0.0,0.0,0.0,0.010000000000000009,0.6559809647715443,0.0,0.0,0.0,0.0,0.0,0.010000000000000007,0.010000000000000009,0.010000000000000009,0.0,0.0,0.0,0.0,0.020000000000000018,0.0,0.010000000000000009,0.0,0.0,0.010000000000000009,0.0,0.0,0.0,0.010000000000000009,0.010000000000000009
0.2,0.042379503835693437,0.14159031604020195,0.0,1.0000000000000004,0.0,0.012500000000000011,0.010000000000000007,23732522147.988312,0.020000000000000018,0.0,0.2106504429597662,0.03000000000000003,0.20065044295976617,0.0,0.0,0.0,0.010000000000000007,0.010000000000000007,0.0,0.0,0.010000000000000009,0.0,0.20065044295976617,0.010000000000000009,0.0,0.0,0.0,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.0,0.010000000000000009,0.010000000000000009,0.020000000000000018,0.0,0.0,0.020000000000000018,0.010000000000000009,0.0,0.010000000000000009,1.0000000000000004,0.0,0.0,0.020000000000000018,0.0,0.0,0.0,0.010000000000000009,0.010000000000000007,0.020000000000000014,0.0,0.010000000000000009,0.020000000000000014,0.010000000000000009,0.0,0.0,0.020000000000000018,0.0,0.0,0.0,0.010000000000000009,0.0,0.2106504429597662,0.2206504429597662
0.3,0.093484243003092854,0.2263463079798535,0.0,1.0000000000000004,0.0,0.010000000000000009,0.010000000000000007,52351176081.73201,0.03000000000000003,0.010000000000000007,0.5100000000000002,0.010000000000000009,0.5000000000000002,0.0,0.0,0.010000000000000009,0.0,0.010000000000000009,0.010000000000000009,0.0,0.020000000000000018,0.0,0.5000000000000002,0.0,0.010000000000000009,0.0,0.4369943479006344,0.0,0.0,0.0,0.010000000000000009,0.010000000000000007,0.020000000000000014,0.010000000000000009,0.010000000000000009,0.0,0.0,0.9451816995910252,0.0,0.0,1.0000000000000004,0.010000000000000007,0.010000000000000009,0.010000000000000007,0.10294156068154148,0.0,0.010000000000000009,0.0,0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000009,0.0,0.0,0.010000000000000009,0.0,0.5000000000000002,0.5000000000000002
0.4,0.14778968573630297,0.29068335913257265,0.0,1.0000000000000004,0.0,0.02250000000000002,0.010000000000000009,82762224012.329681,0.020000000000000018,0.010000000000000009,0.51,0.010000000000000009,0.52,0.0,0.0,0.020000000000000018,0.46207413374432277,0.010000000000000009,0.03000000000000003,0.010000000000000009,0.4720741337443228,0.0,0.49999999999999994,0.020000000000000018,0.0,0.0,0.9999999999999999,0.0,0.4820741337443228,0.0,0.010000000000000009,0.010000000000000009,0.020000000000000018,0.0,0.010000000000000009,0.010000000000000009,0.010000000000000007,0.9999999999999999,0.0,0.030000000000000027,1.0000000000000004,0.010000000000000009,0.0,0.020000000000000018,0.9999999999999999,0.0,0.0,0.0,0.0,0.010000000000000009,0.0,0.010000000000000009,0.010000000000000009,0.0,0.010000000000000009,0.0,0.0,0.010000000000000007,0.020000000000000018,0.0,0.0,0.0,0.49999999999999994,0.49999999999999994
0.5,0.17372425479269868,0.31959752109297013,0.0,0.99999999999999989,0.0,0.061840573450907134,0.010000000000000009,97285582683.911285,0.020000000000000018,0.0,0.49499999999999994,0.010000000000000009,0.5049999999999999,0.5954887262062655,0.0,0.010000000000000009,0.6253536241906181,0.010000000000000009,0.0,0.0,0.6253536241906181,0.18736229380362848,0.49499999999999994,0.0,0.010000000000000009,0.0,0.9999999999999999,0.010000000000000009,0.9999999999999996,0.0,0.020000000000000018,0.0,0.020000000000000014,0.0,0.010000000000000009,0.010000000000000007,0.010000000000000009,0.9999999999999999,0.0,0.010000000000000009,0.9999999999999996,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000009,0.010000000000000009,0.0,0.0,0.020000000000000018,0.0,0.0,0.020000000000000018,0.49499999999999994,0.49499999999999994
0.6,0.24136459283779743,0.37523739330094075,0.0,0.99999999999999978,0.0,0.52895817362920872,0.010000000000000009,135164171989.1666,0.03000000000000003,0.010000000000000009,0.9103305218117755,0.010000000000000009,0.9103305218117755,0.9999999999999998,0.010000000000000009,0.010000000000000007,0.5049999999999999,0.0,0.0,0.010000000000000007,0.5049999999999999,0.9999999999999998,0.9303305218117756,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.6130056520993666,0.0,0.9999999999999993,0.0,0.010000000000000009,0.0,0.0,0.0,0.010000000000000009,0.6008326945168351,0.0,0.07481830040897752,0.6008326945168351,0.010000000000000009,0.9599999999999996,0.0,0.010000000000000009,0.010000000000000007,0.9070584393184589,0.0,0.0,0.020000000000000018,0.0,0.010000000000000009,0.0,0.0,0.010000000000000009,0.0,0.010000000000000009,0.687686438418005,0.2005303705793076,0.0,0.010000000000000009,0.0,0.0,0.020000000000000018,0.9503305218117755,0.9203305218117754
0.7,0.22095150954278361,0.33538589705273392,0.0,0.99999999999999989,0.0,0.39651903522845555,0.010000000000000009,123732845343.95886,0.0,0.0,0.39401903522845555,0.0,0.40401903522845556,0.9999999999999999,0.010000000000000009,0.010000000000000009,0.49999999999999994,0.0,0.0,0.0,0.49999999999999994,0.9999999999999999,0.39401903522845555,0.008782117147115853,0.010000000000000009,0.0,0.010000000000000009,0.0,0.9999999999999999,0.0,0.0,0.020000000000000014,0.020000000000000014,0.0,0.0,0.9999999999999999,0.0,0.0,0.9999999999999999,0.15978488847762873,0.39401903522845555,0.5516763321659991,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.0,0.0,0.0,0.9968986805727232,0.010000000000000007,0.0,0.020000000000000014,0.010000000000000007,0.46920443287004343,0.0,0.49999999999999994,0.8264119358958218,0.32641193589582235,0.0,0.0,0.0,0.0,0.40401903522845556,0.39401903522845555
0.8,0.23016416061114392,0.3677514976769502,0.0,0.99999999999999989,0.0,0.45838345534530128,0.010000000000000009,128891929942.24062,0.9107997261347678,0.0,0.0,0.0,0.0,0.44451127379373506,0.020000000000000018,0.0,0.5099999999999999,0.010000000000000009,0.0,0.0,0.49999999999999994,0.9999999999999994,0.0,0.0012178828528841557,0.010000000000000007,0.010000000000000007,0.0,0.0,0.9999999999999994,0.010000000000000009,0.0,0.2892213704808922,0.2892213704808922,0.0,0.0,0.9999999999999999,0.010000000000000009,0.0,0.9999999999999999,0.9999999999999999,0.010000000000000009,0.9999999999999999,0.010000000000000009,0.03000000000000003,0.0,0.27922137048089213,0.0,0.0,0.9999999999999999,0.010000000000000009,0.0,0.010000000000000009,0.020000000000000018,0.49999999999999994,0.0,0.49999999999999994,0.9999999999999994,0.5049999999999999,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.24280712643659608,0.38642280341783897,0.0,1.0000000000000002,0.0,0.42757224206506028,0.010000000000000009,135971990804.49388,0.9999999999999999,0.010000000000000009,0.0,0.0,0.010000000000000009,0.010000000000000009,0.020000000000000018,0.020000000000000014,0.4275722420650603,0.0,0.020000000000000018,0.0,0.4275722420650603,0.9999999999999998,0.0,0.020000000000000014,0.0,0.010000000000000007,0.010000000000000009,0.010000000000000009,1.0000000000000002,0.010000000000000009,0.0,0.9999999999999999,0.9999999999999999,0.0,0.0,0.4091673054831668,0.0,0.010000000000000009,0.39916730548316676,1.0000000000000002,0.0,1.0000000000000002,0.010000000000000009,0.0,0.0,0.9999999999999999,0.0,0.0,0.9999999999999999,0.010000000000000009,0.020000000000000018,0.0,0.020000000000000018,0.6837199853529342,0.010000000000000009,0.49999999999999994,0.9999999999999997,0.49999999999999994,0.010000000000000009,0.010000000000000009,0.0,0.0,0.0,0.0
1.0,0.18391821686358104,0.35247312788287782,0.0,0.99999999999999989,0.0,0.020000000000000018,0.010000000000000009,102994201443.60539,0.9999999999999998,0.010000000000000009,0.0,0.030000000000000027,0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000009,0.010000000000000009,0.9981680767756818,0.0,0.010000000000000009,0.0,0.020000000000000018,0.010000000000000009,0.0,0.5679258662556829,0.010000000000000007,0.0,0.9899999999999999,0.9999999999999999,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.0,0.0,0.0,0.8602151115223732,0.010000000000000009,0.47832366783400293,0.0,0.010000000000000009,0.0,0.9699999999999999,0.0,0.010000000000000009,0.0031013194272788702,0.010000000000000009,0.0,0.020000000000000018,0.020000000000000018,0.9368703896239495,0.0,0.7148157129215718,0.9999999999999997,0.5,0.010000000000000007,0.0,0.010000000000000007,0.010000000000000009,0.020000000000000018,0.0
