"time","mean","stdev","min","max","q1","q3","median","throughput","('s9', 's18')","('s9', 's8')","('s9', 's7')","('s9', 's6')","('s9', 's10')","('s8', 's7')","('s8', 's5')","('s3', 's2')","('s3', 's1')","('s3', 's6')","('s2', 's12')","('s2', 's1')","('s1', 's4')","('s7', 's20')","('s7', 's25')","('s6', 's12')","('s6', 's10')","('s6', 's4')","('s5', 's25')","('s5', 's27')","('s5', 's4')","('s19', 's20')","('s19', 's18')","('s19', 's17')","('s19', 's21')","('s18', 's20')","('s18', 's17')","('s13', 's11')","('s13', 's16')","('s13', 's15')","('s13', 's14')","('s12', 's11')","('s11', 's10')","('s11', 's16')","('s10', 's16')","('s17', 's16')","('s17', 's15')","('s17', 's14')","('s15', 's14')","('s30', 's28')","('s30', 's29')","('s30', 's24')","('s22', 's23')","('s22', 's21')","('s22', 's24')","('s23', 's28')","('s23', 's26')","('s23', 's24')","('s20', 's26')","('s20', 's21')","('s26', 's25')","('s27', 's28')","('s27', 's29')","('s27', 's25')","('s25', 's28')","('s28', 's29')"
0.1,0.021012556608425593,0.039242532017495495,0.0,0.1691757925179582,0.0,0.020000000000000014,0.010000000000000007,11767031700.718328,0.030000000000000027,0.010000000000000009,0.020000000000000014,0.040000000000000036,0.020000000000000014,0.010000000000000007,0.0,0.010000000000000009,0.0,0.020000000000000018,0.010000000000000009,0.0,0.009999999999999992,0.010000000000000009,0.020000000000000014,0.1691757925179582,0.0,0.020000000000000018,0.009999999999999992,0.010000000000000007,0.030000000000000006,0.030000000000000023,0.010000000000000007,0.040000000000000036,0.010000000000000007,0.020000000000000018,0.0,0.1591757925179582,0.0,0.0,0.13917579251795817,0.1591757925179582,0.010000000000000009,0.0,0.010000000000000007,0.0,0.030000000000000023,0.010000000000000007,0.0,0.0,0.0,0.0,0.0,0.010000000000000009,0.0,0.010000000000000007,0.0,0.0,0.030000000000000006,0.010000000000000009,0.02,0.0,0.0,0.010000000000000009,0.010000000000000007,0.0
0.2,0.15887424598349817,0.27290125345595928,0.0,1.0766765382622545,0.0,0.15447449331593416,0.010000000000000009,88969577750.759003,0.9838123079815702,0.010000000000000009,0.5959143347178331,0.4678979732637364,0.050000000000000044,0.0,0.010000000000000009,0.020000000000000018,0.010000000000000009,0.020000000000000018,0.020000000000000014,0.010000000000000009,0.45063687240915573,0.010000000000000009,0.06000000000000005,1.0766765382622545,0.0,0.0,0.0,0.46063687240915574,0.45063687240915573,0.010000000000000009,0.4378979732637365,0.02892856422144902,0.4568265374851855,0.010000000000000009,0.5359143347178331,0.6687785649985178,0.0,0.020000000000000014,0.6287785649985176,0.6487785649985177,0.03000000000000003,0.0,0.020000000000000018,0.018928564221449007,0.0,0.545914334717833,0.0,0.020000000000000014,0.0,0.0,0.0,0.010000000000000009,0.010000000000000009,0.0,0.0,0.0,0.010000000000000009,0.010000000000000009,0.0,0.0,0.0,0.0,0.06000000000000005,0.010000000000000009
0.3,0.21346319444507397,0.32204676858548065,0.0,1.0000000000000022,0.0,0.34919784609763699,0.020000000000000014,119539388889.24146,1.0000000000000022,0.010000000000000009,0.6520521539023634,0.33794784609763695,0.03000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000007,0.7639150267063399,0.0,0.0,0.9800025742758247,0.0,0.10909179858015466,0.08000000000000006,0.8330068252864948,0.9030068252864952,0.010000000000000007,0.34794784609763696,0.6562505514180914,0.9941983975157291,0.010000000000000007,0.6420521539023634,0.6620547281781866,0.0,0.0,0.5429629295980317,0.6520547281781864,0.010000000000000009,0.0,0.0,0.6162505514180915,0.3291043078047261,0.35294784609763696,0.0,0.030000000000000023,0.0,0.0,0.030000000000000023,0.06000000000000005,0.020000000000000014,0.04000000000000003,0.0,0.020000000000000014,0.010000000000000007,0.010000000000000007,0.020000000000000014,0.0,0.10909179858015466,0.0,0.060000000000000046,0.010000000000000007
0.4,0.22466795391891839,0.33167355207655341,0.0,0.99999999999999933,0.0,0.35000000000000003,0.015000000000000013,125814054194.5943,0.9999999999999989,0.020000000000000018,0.6699999999999995,0.3599999999999998,0.0,0.010000000000000009,0.010000000000000009,0.0,0.03000000000000003,0.030000000000000037,0.0,0.010000000000000009,0.6566666666666665,0.0,0.04000000000000004,0.9999999999999993,0.0,0.35000000000000003,0.010000000000000009,0.9766666666666663,0.9966666666666664,0.010000000000000009,0.31999999999999995,0.6830467458764369,0.9930467458764367,0.0,0.6699999999999995,0.6999999999999994,0.1622651818301241,0.010000000000000009,0.35000000000000003,0.6899999999999994,0.010000000000000007,0.0,0.0,0.6730467458764368,0.3299999999999999,0.3299999999999999,0.0,0.020000000000000018,0.0,0.010000000000000009,0.010000000000000009,0.03000000000000003,0.020000000000000018,0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.05000000000000006,0.0
0.5,0.27678544754300161,0.33251314608499882,0.0,1.0016666666666658,0.0,0.51475786081176156,0.040000000000000098,154999850624.08096,0.8142962991429382,0.0,0.9807022881592807,0.6207777735078134,0.22340599328630642,0.0,0.0,0.010000000000000009,0.0,0.010000000000000009,0.0,0.0,0.6516666666666665,0.0,0.4952948779052313,0.9999999999999994,0.0,0.33999999999999986,0.03000000000000003,0.9816666666666659,1.0016666666666658,0.01000000000000001,0.3188888888888888,0.691111111111111,0.9999999999999997,0.010000000000000063,0.4754074102540496,0.681111111111111,0.3255555555555554,0.0,0.34111111111111103,0.691111111111111,0.010000000000000063,0.020000000000000018,0.2134059932863063,0.6811111111111111,0.2377037051270248,0.24770370512702483,0.0,0.0,0.0,0.0,0.308652148185538,0.05000000000000011,0.020000000000000018,0.5805410328044629,0.02000000000000002,0.010000000000000009,0.030000000000000086,0.0,0.020000000000000018,0.2886521481855379,0.5431468095313524,0.0,0.5052948779052313,0.010000000000000063
0.6,0.3022733275675234,0.34506130591704659,0.0,0.99999999999999989,0.0099999999999997313,0.61418220611638241,0.1631547985371169,169273063437.81305,0.7149733504440446,0.0,0.9999999999999994,0.6843599947492931,0.22612267113895046,0.0,0.0,0.010000000000000009,0.009999999999999898,0.040000000000000036,0.0,0.0,0.6630702974015341,0.009999999999999731,0.6077546577220994,0.994999999999999,0.020000000000000018,0.3369297025984652,0.05157821559079042,0.9499999999999991,0.9999999999999989,0.01157821559079064,0.2727280081661443,0.737271991833855,0.9999999999999999,0.009999999999999898,0.42224534227790067,0.7118774379361571,0.2870585966483693,0.0,0.3853422892353906,0.7018774379361571,0.030000000000000134,0.0,0.20612267113895033,0.5741171932967377,0.3492774696760675,0.20612267113895033,0.0,0.03999999999999981,0.0,0.0,0.5809118013124969,0.16315479853711676,0.009999999999999731,0.992543787895646,0.019999999999999903,0.0,0.021578215590790536,0.009999999999999731,0.0015782155907906326,0.4277570027753802,0.6334648512992318,0.0,0.637754657722099,0.16315479853711704
0.7,0.31420542271870749,0.34311934286484241,0.0,1.0000000000000022,0.0099999999999999655,0.60050000000000114,0.20099999999999982,175955036722.47626,0.806823412194469,0.0,1.0000000000000022,0.8168234121944692,0.20599999999999977,0.0,0.0,0.0,0.15488677056875197,0.16488677056875195,0.0,0.010000000000000007,0.666929702598465,0.0,0.5980000000000011,0.9231191470292447,0.0,0.35307029740153495,0.028421784409209394,0.9799999999999995,0.9999999999999994,0.05842178440920939,0.39482341219446776,0.8000633583742833,0.9999999999999991,0.01999999999999985,0.4019999999999996,0.6735770593012268,0.25326997495904924,0.0,0.3501122080019941,0.6735770593012268,0.009999999999999842,0.010000000000000007,0.19599999999999987,0.5165399499180983,0.43952340845618526,0.2259999999999998,0.0,0.010000000000000007,0.0,0.0,0.5752440114638714,0.27352340845618545,0.010000000000000007,0.987244011463872,0.019999999999999945,0.0,0.07842178440920927,0.0,0.03842178440920946,0.33172060300768574,0.6565351487007676,0.020000000000000018,0.6080000000000012,0.2535234084561855
0.8,0.33585887023483929,0.35375241081851599,0.0,0.99999999999999978,0.00999999999999991,0.60239584695355208,0.24131333801418797,188080967331.50995,0.9699999999999992,0.00999999999999991,0.9999999999999998,0.990507969525049,0.21010159390500985,0.009999999999999787,0.00999999999999991,0.010000000000000082,0.3288483606689869,0.3388483606689871,0.010000000000000007,0.0,0.5930928686997261,0.009999999999999953,0.6303047817150299,0.9599186600499107,0.0,0.4159451344668736,0.020000000000000018,0.9153376225753065,0.9990380031665993,0.029999999999999975,0.5803047817150301,0.7885435789539575,0.9999999999999993,0.0,0.3896952182849698,0.6647618584125755,0.4974911196740205,0.24088992748816807,0.3007148815159728,0.6447618584125755,0.020000000000000066,0.0,0.19010159390500983,0.5168068304137495,0.44158435768269333,0.20984760914248493,0.0,0.019999999999999796,0.0,0.0,0.5844429995167573,0.2617367485402079,0.020000000000000018,0.9846461873267768,0.0,0.0,0.010000000000000009,0.0,0.0,0.332706250976549,0.7750760454927849,0.0,0.6303047817150299,0.24173674854020785
0.9,0.33369314139203976,0.34330560472214589,0.0,1.0000000000000007,0.017499999999999807,0.61170819629326112,0.25703048389466049,186868159179.54233,0.9899999999999999,0.026863619883054815,1.0000000000000007,0.9733174248218937,0.26834022232842153,0.01999999999999974,0.036863619883054824,0.0,0.3643637114988271,0.344363711498827,0.010000000000000007,0.010000000000000007,0.31573929525656896,0.01999999999999974,0.6292606335166855,0.8295118926479408,0.0,0.5914785905131379,0.10278211423029314,0.611478590513138,1.0000000000000002,0.020000000000000018,0.6123970136336302,0.7419666978651961,1.0000000000000002,0.0,0.3776029863663694,0.31573929525656896,0.9567821963416071,0.721856997118436,0.0018022230210223977,0.30573929525656895,0.08733612425127565,0.0,0.18100409807714601,0.4962459524042972,0.41609042870255686,0.19036968324165734,0.0,0.07733612425127566,0.0,0.0,0.6290795888117365,0.2757207454608997,0.03000000000000025,1.0000000000000004,0.010000000000000009,0.0,0.12278211423029291,0.010000000000000009,0.10278211423029314,0.3833588433508372,0.6014785905131379,0.0,0.6292606335166855,0.24572074546089945
1.0,0.33425274736231048,0.33706396310297637,0.0,0.99999999999999889,0.010000000000000009,0.56633951341184741,0.23004336115707885,187181538522.89383,0.9799999999999988,0.013136380116945096,0.9999999999999983,0.9768636198830537,0.3333333333333332,0.010000000000000007,0.013136380116945215,0.0,0.5260946722145327,0.37075035350624197,0.009999999999999851,0.009999999999999955,0.37207572992304666,0.010000000000000007,0.6766666666666662,0.6462427554729911,0.0,0.39346282242951225,0.25446144764744116,0.5488071411378027,0.9999999999999959,0.0,0.6235302865497219,0.7472200669565197,0.9999999999999978,0.01999999999999962,0.3464697134502784,0.19673141121475604,0.9852903699539796,0.7452536515787065,0.0,0.20673141121475588,0.1716666666666665,0.009999999999999851,0.1616666666666666,0.4900734367505466,0.41502197776606875,0.17545798577323837,0.0,0.1616666666666666,0.0,0.010000000000000009,0.6189366302339815,0.28714663020597386,0.020000000000000018,0.9999999999999989,0.0,0.019999999999999914,0.21673141121475561,0.0,0.20673141121475574,0.3655813191345794,0.39346282242951225,0.0,0.7343967030993506,0.24335531109940212
