"time","mean","stdev","min","max","q1","q3","median","s9","s8","s3","s2","s1","s7","s6","s5","s4","s19","s18","s13","s12","s11","s10","s17","s16","s15","s14","s30","s22","s23","s20","s21","s26","s27","s24","s25","s28","s29"
0.10000000000000001,0.00056666666666666682,0.00076084748070088853,0.00056666666666666682,0.0030000000000000001,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.003,0.001,0.0,0.001,0.0,0.0,0.002,0.0,0.001,0.0,0.0,0.001,0.001,0.002,0.001,0.001,0.0,0.001,0.0,0.0,0.0
0.20000000000000001,0.0011666666666666668,0.0013186693629901659,0.0011666666666666668,0.0050000000000000001,0.0,0.002,0.001,0.001,0.001,0.0,0.0,0.0,0.001,0.002,0.0,0.0,0.005,0.001,0.0,0.001,0.0,0.001,0.003,0.0,0.001,0.001,0.001,0.003,0.002,0.004,0.003,0.002,0.0,0.002,0.0,0.0,0.0
0.29999999999999999,0.0010333333333333336,0.0011396880664852507,0.0010333333333333336,0.0040000000000000001,0.0,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.001,0.002,0.0,0.0,0.004,0.001,0.0,0.001,0.0,0.001,0.003,0.0,0.001,0.001,0.001,0.003,0.001,0.003,0.003,0.001,0.0,0.002,0.0,0.0,0.0
0.40000000000000002,0.0013333333333333335,0.0013498971154211055,0.0013333333333333335,0.0050000000000000001,0.00025000000000000001,0.00175,0.001,0.001,0.001,0.0,0.0,0.0,0.001,0.002,0.001,0.0,0.005,0.001,0.0,0.002,0.001,0.001,0.004,0.001,0.001,0.001,0.001,0.004,0.001,0.003,0.004,0.001,0.001,0.002,0.0,0.0,0.0
0.5,0.0018000000000000004,0.001833030277982336,0.0018000000000000004,0.0060000000000000001,0.001,0.002,0.001,0.002,0.002,0.0,0.0,0.0,0.003,0.002,0.001,0.0,0.006,0.001,0.0,0.003,0.001,0.0,0.005,0.001,0.001,0.001,0.001,0.006,0.002,0.004,0.006,0.001,0.001,0.002,0.001,0.001,0.0
0.59999999999999998,0.0018000000000000004,0.0018690461025168247,0.0018000000000000004,0.0060000000000000001,0.00025000000000000001,0.0027500000000000003,0.001,0.002,0.002,0.0,0.0,0.0,0.003,0.002,0.001,0.0,0.006,0.001,0.0,0.003,0.001,0.0,0.005,0.001,0.002,0.001,0.001,0.006,0.001,0.004,0.006,0.001,0.001,0.003,0.001,0.0,0.0
0.69999999999999996,0.0019666666666666669,0.0022727858578307711,0.0019666666666666669,0.0070000000000000001,0.0,0.0027500000000000003,0.0015,0.002,0.003,0.0,0.0,0.0,0.004,0.002,0.0,0.0,0.007,0.001,0.0,0.002,0.0,0.0,0.006,0.0,0.002,0.002,0.002,0.007,0.001,0.004,0.007,0.001,0.0,0.004,0.002,0.0,0.0
0.80000000000000004,0.0019666666666666665,0.0022432615144521652,0.0019666666666666665,0.0070000000000000001,0.0,0.0030000000000000001,0.001,0.003,0.002,0.001,0.0,0.0,0.003,0.003,0.0,0.0,0.007,0.001,0.0,0.002,0.0,0.0,0.006,0.0,0.002,0.002,0.002,0.007,0.001,0.004,0.007,0.001,0.0,0.004,0.001,0.0,0.0
0.90000000000000002,0.0025000000000000005,0.0024048561980570342,0.0025000000000000005,0.0080000000000000002,0.001,0.0040000000000000001,0.002,0.004,0.002,0.002,0.002,0.001,0.005,0.004,0.0,0.0,0.007,0.001,0.0,0.004,0.002,0.0,0.006,0.001,0.002,0.002,0.002,0.008,0.001,0.005,0.008,0.001,0.0,0.004,0.001,0.0,0.0
1.0,0.0028,0.0028565713714171397,0.0028,0.01,0.001,0.0030000000000000001,0.002,0.003,0.002,0.001,0.002,0.001,0.002,0.003,0.0,0.0,0.01,0.002,0.0,0.003,0.002,0.0,0.009,0.002,0.004,0.002,0.002,0.009,0.002,0.005,0.009,0.002,0.0,0.005,0.0,0.001,0.001
1.1000000000000001,0.0028000000000000013,0.0021817424229271429,0.0028000000000000013,0.0089999999999999993,0.001,0.0030000000000000001,0.002,0.003,0.003,0.001,0.002,0.002,0.002,0.002,0.001,0.001,0.009,0.001,0.0,0.002,0.002,0.001,0.007,0.002,0.003,0.002,0.003,0.007,0.003,0.006,0.007,0.002,0.001,0.004,0.001,0.003,0.001
1.2,0.0029666666666666678,0.0021367160680716463,0.0029666666666666678,0.0089999999999999993,0.002,0.0030000000000000001,0.002,0.004,0.003,0.001,0.002,0.002,0.003,0.002,0.001,0.001,0.009,0.001,0.0,0.002,0.002,0.001,0.007,0.002,0.002,0.003,0.002,0.007,0.003,0.006,0.007,0.003,0.001,0.004,0.003,0.003,0.002
1.3,0.0031333333333333348,0.0023055488621054111,0.0031333333333333348,0.0089999999999999993,0.002,0.0040000000000000001,0.0030000000000000001,0.003,0.003,0.0,0.002,0.002,0.003,0.001,0.001,0.001,0.009,0.002,0.0,0.002,0.002,0.001,0.007,0.002,0.002,0.003,0.004,0.007,0.005,0.007,0.007,0.003,0.0,0.004,0.003,0.005,0.003
1.3999999999999999,0.0031333333333333343,0.002765662468358872,0.0031333333333333343,0.0089999999999999993,0.001,0.0057500000000000008,0.002,0.002,0.002,0.0,0.001,0.001,0.003,0.001,0.001,0.001,0.009,0.002,0.0,0.001,0.001,0.0,0.006,0.001,0.002,0.003,0.005,0.009,0.006,0.006,0.009,0.004,0.0,0.006,0.003,0.006,0.003
1.5,0.0033333333333333344,0.002784879809894056,0.0033333333333333344,0.0089999999999999993,0.00050000000000000001,0.0057500000000000008,0.0030000000000000001,0.003,0.002,0.0,0.0,0.002,0.003,0.002,0.002,0.002,0.009,0.003,0.0,0.0,0.0,0.0,0.006,0.0,0.003,0.004,0.004,0.008,0.007,0.007,0.008,0.006,0.0,0.005,0.004,0.007,0.003
1.6000000000000001,0.0033000000000000004,0.002635020556529556,0.0033000000000000004,0.0089999999999999993,0.00125,0.0050000000000000001,0.0030000000000000001,0.004,0.002,0.001,0.0,0.003,0.003,0.003,0.002,0.002,0.009,0.004,0.0,0.0,0.0,0.0,0.006,0.0,0.003,0.004,0.003,0.008,0.006,0.005,0.009,0.005,0.0,0.005,0.004,0.006,0.002
1.7,0.0037666666666666673,0.0027408433414228953,0.0037666666666666673,0.0089999999999999993,0.00125,0.0057500000000000008,0.0035000000000000001,0.006,0.002,0.001,0.0,0.003,0.005,0.004,0.003,0.003,0.009,0.004,0.0,0.0,0.0,0.001,0.006,0.0,0.003,0.004,0.003,0.008,0.007,0.005,0.009,0.005,0.001,0.005,0.006,0.008,0.002
1.8,0.0044333333333333343,0.0030841890704401092,0.0044333333333333343,0.010999999999999999,0.00125,0.0067500000000000008,0.0040000000000000001,0.007,0.003,0.001,0.0,0.003,0.005,0.004,0.004,0.003,0.011,0.006,0.0,0.001,0.001,0.001,0.009,0.001,0.003,0.006,0.003,0.009,0.007,0.006,0.01,0.006,0.001,0.005,0.007,0.008,0.002
1.8999999999999999,0.0046000000000000008,0.0030506829836393469,0.0046000000000000008,0.010999999999999999,0.0022500000000000003,0.0060000000000000001,0.0040000000000000001,0.006,0.003,0.001,0.0,0.003,0.004,0.005,0.004,0.004,0.011,0.006,0.002,0.002,0.001,0.001,0.009,0.003,0.003,0.006,0.003,0.01,0.008,0.005,0.011,0.005,0.001,0.007,0.005,0.008,0.001
2.0,0.0042333333333333346,0.003051593390709552,0.0042333333333333346,0.010999999999999999,0.002,0.0060000000000000001,0.0030000000000000001,0.007,0.002,0.001,0.0,0.002,0.003,0.005,0.003,0.002,0.011,0.006,0.001,0.002,0.001,0.001,0.009,0.003,0.003,0.006,0.003,0.009,0.008,0.004,0.01,0.004,0.001,0.006,0.005,0.008,0.001
2.1000000000000001,0.0045333333333333337,0.0030521395046025591,0.0045333333333333337,0.01,0.00125,0.0067500000000000008,0.0050000000000000001,0.007,0.002,0.001,0.0,0.003,0.005,0.005,0.005,0.003,0.01,0.006,0.001,0.001,0.001,0.001,0.008,0.003,0.003,0.005,0.004,0.009,0.008,0.005,0.01,0.005,0.001,0.005,0.008,0.01,0.001
2.2000000000000002,0.0044666666666666665,0.0035752233807445125,0.0044666666666666665,0.012,0.001,0.0077499999999999999,0.0035000000000000001,0.009,0.003,0.001,0.0,0.002,0.004,0.006,0.003,0.001,0.012,0.008,0.001,0.0,0.0,0.001,0.008,0.002,0.003,0.006,0.003,0.01,0.008,0.004,0.011,0.005,0.0,0.006,0.007,0.009,0.001
2.2999999999999998,0.003666666666666667,0.0029135697844549541,0.003666666666666667,0.0089999999999999993,0.001,0.0060000000000000001,0.0030000000000000001,0.008,0.003,0.001,0.0,0.001,0.004,0.005,0.002,0.0,0.009,0.007,0.001,0.0,0.0,0.001,0.006,0.002,0.003,0.004,0.003,0.008,0.006,0.003,0.009,0.004,0.0,0.005,0.006,0.008,0.001
